type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_air_process,power_W,wear_x_torque_minNm
M,298.2,308.0,1591,33.7,32,No Failure,9.800000000000011,5614.7,1078.4
L,298.2,308.1,1306,58.3,35,No Failure,9.900000000000034,7973.3,2040.5
L,298.2,308.1,1382,43.5,37,No Failure,9.900000000000034,6295.4,1609.5
L,298.2,308.2,1988,21.4,41,No Failure,10.0,4455.1,877.4
L,298.2,308.2,1436,50.2,43,No Failure,10.0,7549.0,2158.6
L,298.2,308.3,1304,49.8,45,No Failure,10.100000000000023,6800.4,2241.0
L,298.2,308.3,1475,49.9,47,No Failure,10.100000000000023,7707.6,2345.2999999999997
H,298.2,308.3,1824,24.2,49,No Failure,10.100000000000023,4622.4,1185.8
M,298.1,308.2,1342,48.1,54,No Failure,10.099999999999966,6759.7,2597.4
L,298.1,308.2,1485,40.7,57,No Failure,10.099999999999966,6329.2,2319.9
L,298.2,308.2,1667,30.6,59,No Failure,10.0,5341.8,1805.4
L,298.3,308.5,1606,33.6,67,No Failure,10.199999999999989,5650.8,2251.2000000000003
L,298.2,308.4,1666,34.6,74,No Failure,10.199999999999989,6036.4,2560.4
H,298.2,308.4,1398,51.8,76,No Failure,10.199999999999989,7583.4,3936.7999999999997
H,298.2,308.4,1678,34.6,81,No Failure,10.199999999999989,6079.9,2802.6
M,298.4,308.6,1527,40.9,96,No Failure,10.200000000000045,6540.2,3926.3999999999996
L,298.4,308.6,1433,47.1,101,No Failure,10.200000000000045,7068.0,4757.1
L,298.4,308.6,1609,35.0,103,No Failure,10.200000000000045,5897.3,3605.0
L,298.3,308.5,1575,41.2,105,No Failure,10.199999999999989,6795.3,4326.0
L,298.4,308.5,1490,37.9,110,No Failure,10.100000000000023,5913.6,4169.0
L,298.4,308.5,1741,32.8,112,No Failure,10.100000000000023,5980.0,3673.5999999999995
M,298.4,308.7,1421,60.7,119,Power Failure,10.300000000000011,9032.6,7223.3
L,298.4,308.7,1523,36.1,126,No Failure,10.300000000000011,5757.5,4548.6
M,298.3,308.6,1589,37.1,137,No Failure,10.300000000000011,6173.4,5082.7
L,298.3,308.5,1664,31.6,144,No Failure,10.199999999999989,5506.4,4550.400000000001
M,298.3,308.5,1434,46.2,148,No Failure,10.199999999999989,6937.8,6837.6
L,298.3,308.5,1416,52.7,151,No Failure,10.199999999999989,7814.5,7957.700000000001
L,298.4,308.6,1304,45.0,158,No Failure,10.200000000000045,6145.0,7110.0
L,298.4,308.6,1569,34.4,160,No Failure,10.200000000000045,5652.1,5504.0
L,298.3,308.6,1584,29.3,162,No Failure,10.300000000000011,4860.2,4746.6
L,298.3,308.5,1362,53.8,164,No Failure,10.199999999999989,7673.4,8823.199999999999
L,298.3,308.4,1329,49.2,166,No Failure,10.099999999999966,6847.3,8167.200000000001
L,298.3,308.5,1538,32.2,173,No Failure,10.199999999999989,5186.1,5570.6
L,298.3,308.6,1570,34.8,175,No Failure,10.300000000000011,5721.5,6089.999999999999
L,298.3,308.4,1408,43.1,177,No Failure,10.099999999999966,6354.9,7628.7
L,298.2,308.4,1424,47.6,179,No Failure,10.199999999999989,7098.2,8520.4
L,298.2,308.4,1512,34.9,181,No Failure,10.199999999999989,5525.9,6316.9
L,298.2,308.4,1478,42.9,183,No Failure,10.199999999999989,6639.9,7850.7
M,298.1,308.3,1680,33.7,185,No Failure,10.199999999999989,5928.8,6234.500000000001
L,298.1,308.3,1495,38.7,188,No Failure,10.199999999999989,6058.7,7275.6
M,298.0,308.1,1552,36.6,190,No Failure,10.100000000000023,5948.4,6954.0
L,297.9,308.1,1393,50.3,193,No Failure,10.200000000000045,7337.5,9707.9
L,298.0,308.2,1611,30.6,195,No Failure,10.199999999999989,5162.3,5967.0
M,298.0,308.1,1339,51.6,197,No Failure,10.100000000000023,7235.3,10165.2
L,298.0,308.1,1777,24.3,200,No Failure,10.100000000000023,4521.9,4860.0
M,298.0,308.2,1395,49.1,206,No Failure,10.199999999999989,7172.7,10114.6
M,297.9,308.1,1627,31.4,209,No Failure,10.200000000000045,5349.9,6562.599999999999
L,297.9,308.1,1585,33.5,212,No Failure,10.200000000000045,5560.4,7102.0
L,298.0,308.2,1469,45.5,214,No Failure,10.199999999999989,6999.4,9737.0
L,298.0,308.3,1405,56.2,218,Overstrain Failure,10.300000000000011,8268.8,12251.6
L,298.0,308.3,1662,32.7,0,No Failure,10.300000000000011,5691.2,0.0
M,298.0,308.2,1466,42.6,2,No Failure,10.199999999999989,6539.9,85.2
L,298.0,308.2,1357,48.2,7,No Failure,10.199999999999989,6849.4,337.40000000000003
L,298.0,308.2,1514,37.9,9,No Failure,10.199999999999989,6008.9,341.09999999999997
L,298.0,308.2,1489,40.4,11,No Failure,10.199999999999989,6299.5,444.4
L,298.1,308.3,1331,63.0,13,No Failure,10.199999999999989,8781.1,819.0
L,298.0,308.0,1615,29.5,15,No Failure,10.0,4989.1,442.5
M,298.1,308.2,1420,63.9,19,Power Failure,10.099999999999966,9502.1,1214.1
M,298.1,308.2,1736,26.8,27,No Failure,10.099999999999966,4872.1,723.6
L,298.1,308.2,1390,47.5,33,No Failure,10.099999999999966,6914.1,1567.5
L,298.0,308.1,1454,37.1,35,No Failure,10.100000000000023,5648.9,1298.5
L,297.9,308.0,1954,21.1,42,No Failure,10.100000000000023,4317.5,886.2
H,297.9,308.0,1800,24.8,44,No Failure,10.100000000000023,4674.7,1091.2
L,298.0,308.0,1524,37.0,49,No Failure,10.0,5904.9,1813.0
H,298.0,308.0,1520,39.6,51,No Failure,10.0,6303.3,2019.6000000000001
M,298.1,308.1,1452,40.8,56,No Failure,10.0,6203.8,2284.7999999999997
L,298.1,308.1,1484,40.4,59,No Failure,10.0,6278.3,2383.6
L,298.1,308.0,1426,46.0,61,No Failure,9.899999999999977,6869.2,2806.0
L,298.1,308.0,1652,28.5,63,No Failure,9.899999999999977,4930.4,1795.5
M,298.0,307.9,1750,26.6,67,No Failure,9.899999999999977,4874.7,1782.2
H,298.0,308.0,1479,50.7,70,No Failure,10.0,7852.4,3549.0
M,298.0,308.0,1620,29.4,75,No Failure,10.0,4987.6,2205.0
L,298.0,308.1,1819,23.4,78,No Failure,10.100000000000023,4457.4,1825.1999999999998
M,298.1,308.1,1456,43.7,80,No Failure,10.0,6663.0,3496.0
M,298.1,308.1,1390,49.8,85,No Failure,10.0,7248.9,4233.0
L,298.2,308.2,1469,43.0,88,No Failure,10.0,6614.8,3784.0
L,298.2,308.3,1568,36.0,92,No Failure,10.100000000000023,5911.2,3312.0
L,298.2,308.3,1589,33.2,94,No Failure,10.100000000000023,5524.5,3120.8
H,298.2,308.4,1385,42.2,98,No Failure,10.199999999999989,6120.6,4135.6
L,298.1,308.4,1438,45.6,105,No Failure,10.299999999999955,6866.8,4788.0
L,298.0,308.3,1473,42.6,107,No Failure,10.300000000000011,6571.1,4558.2
L,298.1,308.4,1335,40.2,109,No Failure,10.299999999999955,5620.0,4381.8
H,298.1,308.5,1392,44.8,111,No Failure,10.399999999999977,6530.5,4972.799999999999
M,298.1,308.6,1716,30.7,119,No Failure,10.5,5516.8,3653.2999999999997
L,298.0,308.5,1395,46.2,122,No Failure,10.5,6749.1,5636.400000000001
L,298.0,308.5,1713,25.3,124,No Failure,10.5,4538.4,3137.2000000000003
H,297.9,308.5,2129,18.7,126,No Failure,10.600000000000023,4169.1,2356.2
M,297.8,308.3,1567,35.6,131,No Failure,10.5,5841.8,4663.6
L,297.8,308.4,1622,38.3,134,No Failure,10.599999999999966,6505.5,5132.2
H,297.8,308.4,1512,35.1,138,No Failure,10.599999999999966,5557.6,4843.8
M,297.8,308.4,1479,43.5,143,No Failure,10.599999999999966,6737.3,6220.5
L,297.8,308.4,1737,27.5,146,No Failure,10.599999999999966,5002.2,4015.0
L,297.8,308.4,2129,19.2,148,No Failure,10.599999999999966,4280.6,2841.6
L,297.8,308.4,1374,47.1,150,No Failure,10.599999999999966,6777.0,7065.0
M,297.8,308.4,1579,36.6,152,No Failure,10.599999999999966,6051.9,5563.2
M,297.9,308.5,1449,40.8,157,No Failure,10.600000000000023,6190.9,6405.599999999999
H,298.0,308.6,1526,41.8,160,No Failure,10.600000000000023,6679.7,6688.0
L,298.0,308.6,1313,50.8,170,No Failure,10.600000000000023,6984.8,8636.0
M,297.9,308.5,1300,53.0,172,No Failure,10.600000000000023,7215.2,9116.0
L,297.9,308.4,1646,40.6,175,No Failure,10.5,6998.2,7105.0
L,297.8,308.4,1685,28.4,179,No Failure,10.599999999999966,5011.3,5083.599999999999
L,297.8,308.4,1612,32.1,183,No Failure,10.599999999999966,5418.7,5874.3
L,297.8,308.5,1448,40.0,192,No Failure,10.699999999999989,6065.4,7680.0
L,297.8,308.5,1699,27.8,199,No Failure,10.699999999999989,4946.1,5532.2
L,297.7,308.5,1501,41.4,201,No Failure,10.800000000000011,6507.4,8321.4
L,297.7,308.5,1373,56.7,203,Overstrain Failure,10.800000000000011,8152.3,11510.1
H,297.6,308.4,1703,31.4,205,No Failure,10.799999999999955,5599.8,6437.0
M,297.6,308.4,1398,41.9,215,No Failure,10.799999999999955,6134.1,9008.5
M,297.6,308.4,1391,51.9,218,No Failure,10.799999999999955,7560.0,11314.199999999999
M,297.6,308.3,1538,40.2,0,No Failure,10.699999999999989,6474.6,0.0
L,297.5,308.2,1647,31.3,3,No Failure,10.699999999999989,5398.4,93.9
M,297.5,308.1,1469,44.8,5,No Failure,10.600000000000023,6891.7,224.0
L,297.4,308.1,1749,25.9,8,No Failure,10.700000000000045,4743.7,207.2
M,297.6,308.2,1995,20.5,10,No Failure,10.599999999999966,4282.8,205.0
L,297.5,308.2,1563,38.2,15,No Failure,10.699999999999989,6252.5,573.0
L,297.4,308.1,1474,39.4,20,No Failure,10.700000000000045,6081.7,788.0
M,297.4,308.2,1530,32.6,22,No Failure,10.800000000000011,5223.2,717.2
L,297.4,308.2,1471,46.5,25,No Failure,10.800000000000011,7163.0,1162.5
L,297.5,308.3,1388,48.6,27,No Failure,10.800000000000011,7064.1,1312.2
M,297.5,308.2,2448,13.8,29,No Failure,10.699999999999989,3537.7,400.20000000000005
M,297.5,308.3,1459,45.2,34,No Failure,10.800000000000011,6905.9,1536.8000000000002
L,297.5,308.3,1544,40.8,37,No Failure,10.800000000000011,6596.8,1509.6
L,297.6,308.3,1595,34.3,41,No Failure,10.699999999999989,5729.1,1406.3
H,297.6,308.3,1400,44.3,43,No Failure,10.699999999999989,6494.7,1904.8999999999999
M,297.6,308.4,1507,46.0,51,No Failure,10.799999999999955,7259.4,2346.0
L,297.6,308.3,1658,34.3,59,No Failure,10.699999999999989,5955.3,2023.6999999999998
M,297.6,308.4,1398,48.9,63,No Failure,10.799999999999955,7158.9,3080.7
L,297.6,308.4,1517,34.2,66,No Failure,10.799999999999955,5433.0,2257.2000000000003
M,297.6,308.3,1467,36.7,68,No Failure,10.699999999999989,5638.0,2495.6000000000004
M,297.5,308.3,1521,38.2,74,No Failure,10.800000000000011,6084.4,2826.8
L,297.5,308.3,1596,36.8,77,No Failure,10.800000000000011,6150.5,2833.6
L,297.6,308.3,1438,47.8,84,No Failure,10.699999999999989,7198.1,4015.2
L,297.6,308.4,1407,55.2,86,No Failure,10.799999999999955,8133.2,4747.2
L,297.6,308.4,1353,57.5,88,No Failure,10.799999999999955,8146.9,5060.0
M,297.6,308.5,1552,40.9,90,No Failure,10.899999999999977,6647.3,3681.0
M,297.6,308.4,1569,38.3,93,No Failure,10.799999999999955,6292.9,3561.8999999999996
L,297.5,308.4,1489,39.5,96,No Failure,10.899999999999977,6159.1,3792.0
H,297.5,308.4,1587,36.1,98,No Failure,10.899999999999977,5999.5,3537.8
L,297.5,308.4,1604,38.1,106,No Failure,10.899999999999977,6399.7,4038.6000000000004
M,297.4,308.3,1405,51.7,108,No Failure,10.900000000000034,7606.7,5583.6
M,297.4,308.2,1401,51.9,117,No Failure,10.800000000000011,7614.4,6072.3
M,297.4,308.2,1424,53.9,120,No Failure,10.800000000000011,8037.6,6468.0
L,297.3,308.2,1754,29.4,123,No Failure,10.899999999999977,5400.1,3616.2
L,297.3,308.2,1754,26.8,125,No Failure,10.899999999999977,4922.6,3350.0
L,297.5,308.3,2564,12.8,127,Power Failure,10.800000000000011,3436.8,1625.6000000000001
L,297.5,308.5,1712,26.8,136,No Failure,11.0,4804.7,3644.8
M,297.6,308.6,1414,45.4,138,No Failure,11.0,6722.5,6265.2
L,297.6,308.7,1319,50.9,141,No Failure,11.099999999999966,7030.6,7176.9
L,297.7,308.7,1249,60.4,143,No Failure,11.0,7900.0,8637.199999999999
L,297.6,308.7,1460,46.7,150,No Failure,11.099999999999966,7140.0,7005.0
L,297.6,308.6,1491,38.1,152,No Failure,11.0,5948.8,5791.2
M,297.5,308.4,1350,52.2,157,No Failure,10.899999999999977,7379.6,8195.4
L,297.5,308.4,1528,39.9,160,No Failure,10.899999999999977,6384.5,6384.0
L,297.4,308.3,1571,37.7,162,No Failure,10.900000000000034,6202.2,6107.400000000001
L,297.4,308.3,1490,42.6,164,No Failure,10.900000000000034,6647.0,6986.400000000001
M,297.4,308.3,1774,28.9,166,No Failure,10.900000000000034,5368.8,4797.4
L,297.5,308.5,1722,30.4,178,No Failure,11.0,5482.0,5411.2
L,297.4,308.6,1678,32.3,180,No Failure,11.200000000000045,5675.7,5813.999999999999
L,297.3,308.6,1273,59.8,182,No Failure,11.300000000000011,7971.8,10883.6
L,297.3,308.6,1297,45.9,184,No Failure,11.300000000000011,6234.2,8445.6
L,297.3,308.5,1350,57.6,186,No Failure,11.199999999999989,8143.0,10713.6
L,297.4,308.6,1439,51.9,188,No Failure,11.200000000000045,7820.9,9757.199999999999
M,297.4,308.5,1600,42.1,190,No Failure,11.100000000000023,7053.9,7999.0
M,297.5,308.6,1472,44.9,198,No Failure,11.100000000000023,6921.2,8890.199999999999
L,297.5,308.6,1388,48.2,203,No Failure,11.100000000000023,7005.9,9784.6
L,297.4,308.4,1573,34.5,205,No Failure,11.0,5683.0,7072.5
L,297.4,308.4,1588,32.5,207,No Failure,11.0,5404.6,6727.5
L,297.5,308.4,1511,42.8,209,No Failure,10.899999999999977,6772.3,8945.199999999999
L,297.4,308.4,1394,50.1,213,No Failure,11.0,7313.6,10671.300000000001
L,297.4,308.4,2151,17.7,0,No Failure,11.0,3987.0,0.0
M,297.3,308.3,1501,38.2,2,No Failure,11.0,6004.4,76.4
M,297.3,308.3,1301,39.6,5,No Failure,11.0,5395.1,198.0
M,297.3,308.3,1657,31.1,8,No Failure,11.0,5396.5,248.8
L,297.3,308.3,1333,55.2,11,No Failure,11.0,7705.4,607.2
L,297.3,308.3,1484,43.9,13,No Failure,11.0,6822.2,570.6999999999999
L,297.3,308.4,1430,45.7,15,No Failure,11.099999999999966,6843.5,685.5
M,297.3,308.4,1665,28.9,17,No Failure,11.099999999999966,5039.0,491.29999999999995
M,297.6,308.6,1595,36.9,25,No Failure,11.0,6163.3,922.5
L,297.5,308.6,1208,62.3,28,No Failure,11.100000000000023,7881.0,1744.3999999999999
L,297.5,308.6,1596,37.1,30,No Failure,11.100000000000023,6200.6,1113.0
L,297.5,308.5,1446,41.9,32,No Failure,11.0,6344.7,1340.8
M,297.6,308.5,1466,39.7,34,No Failure,10.899999999999977,6094.7,1349.8000000000002
M,297.6,308.5,1848,23.7,37,No Failure,10.899999999999977,4586.5,876.9
L,297.3,308.3,1504,36.3,45,No Failure,11.0,5717.2,1633.4999999999998
L,297.3,308.3,1538,38.5,47,No Failure,11.0,6200.8,1809.5
L,297.4,308.4,1341,52.2,49,No Failure,11.0,7330.4,2557.8
H,297.5,308.5,1393,46.6,56,No Failure,11.0,6797.8,2609.6
H,297.4,308.5,1469,45.1,63,No Failure,11.100000000000023,6937.9,2841.3
L,297.5,308.6,1452,39.0,72,No Failure,11.100000000000023,5930.1,2808.0
M,297.6,308.7,1376,59.9,74,No Failure,11.099999999999966,8631.3,4432.599999999999
L,297.5,308.6,1552,44.9,77,No Failure,11.100000000000023,7297.4,3457.2999999999997
L,297.6,308.7,1622,37.9,79,No Failure,11.099999999999966,6437.5,2994.1
H,297.5,308.6,1440,46.1,84,No Failure,11.100000000000023,6951.7,3872.4
M,297.4,308.6,1643,31.0,89,No Failure,11.200000000000045,5333.7,2759.0
L,297.4,308.7,1468,46.6,94,No Failure,11.300000000000011,7163.8,4380.400000000001
L,297.4,308.7,1429,57.4,96,No Failure,11.300000000000011,8589.6,5510.4
L,297.4,308.6,1276,53.6,103,No Failure,11.200000000000045,7162.2,5520.8
L,297.3,308.6,1486,42.6,105,No Failure,11.300000000000011,6629.1,4473.0
L,297.4,308.7,2874,4.2,118,Power Failure,11.300000000000011,1264.1,495.6
L,297.3,308.6,1511,35.7,120,No Failure,11.300000000000011,5648.9,4284.0
M,297.3,308.6,1456,42.9,122,No Failure,11.300000000000011,6541.0,5233.8
L,297.2,308.5,1550,41.5,125,No Failure,11.300000000000011,6736.1,5187.5
L,297.3,308.7,1619,31.6,129,No Failure,11.399999999999977,5357.5,4076.4
H,297.3,308.8,1499,44.2,134,No Failure,11.5,6938.3,5922.8
M,297.4,309.0,1497,41.8,144,No Failure,11.600000000000023,6552.8,6019.2
M,297.4,309.0,1520,37.0,147,No Failure,11.600000000000023,5889.4,5439.0
L,297.4,309.1,1380,41.1,152,No Failure,11.700000000000045,5939.5,6247.2
L,297.4,309.0,1570,37.9,154,No Failure,11.600000000000023,6231.1,5836.599999999999
