type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_air_process,power_W,wear_x_torque_minNm
L,301.0,310.9,1813,28.5,197,9.899999999999977,5410.9,5614.5
L,300.2,310.0,1493,47.3,172,9.800000000000011,7395.2,8135.599999999999
M,296.7,307.5,1515,42.1,55,10.800000000000011,6679.2,2315.5
L,302.2,311.6,1416,54.1,48,9.400000000000034,8022.1,2596.8
L,300.8,310.8,1741,27.1,39,10.0,4940.8,1056.9
M,302.0,310.5,1573,32.1,143,8.5,5287.6,4590.3
L,298.4,308.8,1458,40.1,111,10.400000000000034,6122.5,4451.1
M,297.5,308.4,1505,37.2,215,10.899999999999977,5862.8,7998.000000000001
L,302.4,311.4,1475,40.4,126,9.0,6240.3,5090.4
L,303.9,313.4,1442,48.5,174,9.5,7323.8,8439.0
M,295.5,305.9,1453,47.3,9,10.399999999999977,7197.1,425.7
L,298.9,308.5,1559,34.3,126,9.600000000000023,5599.8,4321.799999999999
L,297.3,308.3,1550,37.0,54,11.0,6005.7,1998.0
L,301.5,310.5,1611,33.8,144,9.0,5702.2,4867.2
L,301.8,309.7,1598,30.4,124,7.899999999999977,5087.2,3769.6
L,298.6,309.5,1325,52.2,127,10.899999999999977,7242.9,6629.400000000001
L,298.5,309.6,1419,41.5,105,11.100000000000023,6166.8,4357.5
L,298.3,308.3,1452,45.5,63,10.0,6918.4,2866.5
L,300.6,310.2,1648,31.7,46,9.599999999999966,5470.7,1458.2
L,303.9,313.0,1480,39.9,176,9.100000000000023,6183.9,7022.4
L,301.0,312.1,1585,32.3,50,11.100000000000023,5361.2,1614.9999999999998
L,304.3,313.5,1802,25.4,170,9.199999999999989,4793.1,4318.0
L,301.7,310.1,1487,48.0,36,8.400000000000034,7474.5,1728.0
L,301.9,310.8,1400,58.2,79,8.900000000000034,8532.6,4597.8
L,299.3,310.5,1529,41.3,17,11.199999999999989,6612.8,702.0999999999999
M,298.6,308.3,1589,34.1,174,9.699999999999989,5674.2,5933.400000000001
L,300.4,309.4,1412,51.6,153,9.0,7629.8,7894.8
M,300.9,310.8,1599,33.0,7,9.900000000000034,5525.7,231.0
L,300.6,311.7,1488,47.7,22,11.099999999999966,7432.8,1049.4
L,298.3,308.3,1444,43.8,176,10.0,6623.2,7708.799999999999
L,298.2,308.4,1452,43.5,158,10.199999999999989,6614.3,6873.0
L,300.4,311.6,1674,33.0,172,11.200000000000045,5784.9,5676.0
L,303.5,312.0,1756,29.7,28,8.5,5461.5,831.6
H,300.7,311.3,1374,53.1,66,10.600000000000023,7640.3,3504.6
M,298.9,309.8,1836,22.8,18,10.900000000000034,4383.7,410.40000000000003
M,298.0,307.5,1431,52.9,92,9.5,7927.3,4866.8
M,302.4,311.1,1432,44.5,195,8.700000000000045,6673.2,8677.5
M,300.7,311.9,1366,55.1,36,11.199999999999989,7881.9,1983.6000000000001
M,297.5,308.6,1429,50.5,129,11.100000000000023,7557.0,6514.5
L,302.3,310.2,1548,35.3,170,7.899999999999977,5722.3,6000.999999999999
M,298.7,309.6,1686,26.2,189,10.900000000000034,4625.8,4951.8
L,297.6,309.4,1628,33.4,229,11.799999999999955,5694.2,7648.599999999999
L,300.1,309.5,1660,32.7,57,9.399999999999977,5684.4,1863.9
L,299.8,309.2,1591,37.5,109,9.399999999999977,6247.8,4087.5
L,299.1,308.3,1601,31.4,121,9.199999999999989,5264.4,3799.3999999999996
L,301.0,310.9,1473,44.2,116,9.899999999999977,6817.9,5127.200000000001
L,302.8,310.6,1470,41.1,205,7.800000000000011,6326.9,8425.5
L,304.2,313.8,1401,53.9,142,9.600000000000023,7907.8,7653.8
M,301.5,310.5,1503,38.2,200,9.0,6012.4,7640.000000000001
L,298.3,307.9,1551,33.8,72,9.599999999999966,5489.8,2433.6
L,300.6,309.5,1867,23.0,242,8.899999999999977,4496.8,5566.0
L,303.9,312.9,1526,42.5,194,9.0,6791.6,8245.0
M,301.4,311.1,1758,25.4,88,9.700000000000045,4676.1,2235.2
M,298.1,308.7,1362,49.6,158,10.599999999999966,7074.4,7836.8
M,298.5,308.8,1553,34.9,18,10.300000000000011,5675.8,628.1999999999999
L,302.3,311.6,1309,57.6,77,9.300000000000011,7895.7,4435.2
H,300.3,309.7,1452,41.5,139,9.399999999999977,6310.2,5768.5
M,298.8,309.0,1592,38.2,169,10.199999999999989,6368.5,6455.8
L,299.7,310.4,1614,36.2,108,10.699999999999989,6118.4,3909.6000000000004
L,301.7,311.0,1715,24.8,17,9.300000000000011,4453.9,421.6
M,301.7,310.8,1516,40.4,48,9.100000000000023,6413.7,1939.1999999999998
L,300.4,309.3,1766,28.2,207,8.900000000000034,5215.2,5837.4
M,297.5,308.8,1471,52.3,152,11.300000000000011,8056.4,7949.599999999999
M,297.0,307.9,1569,33.3,141,10.899999999999977,5471.4,4695.299999999999
L,303.6,313.0,1522,35.8,133,9.399999999999977,5705.9,4761.4
L,298.9,308.6,2069,18.7,27,9.700000000000045,4051.6,504.9
M,302.3,310.1,1563,37.8,31,7.800000000000011,6187.0,1171.8
M,301.1,311.1,1615,37.7,153,10.0,6375.9,5768.1
L,300.7,309.9,1775,26.6,149,9.199999999999989,4944.3,3963.4
H,298.0,308.7,1503,36.3,5,10.699999999999989,5713.4,181.5
L,299.0,310.1,1664,29.7,89,11.100000000000023,5175.3,2643.2999999999997
M,299.6,310.6,1633,34.2,151,11.0,5848.5,5164.200000000001
L,298.1,307.6,1950,20.3,202,9.5,4145.3,4100.6
L,302.7,312.1,1763,26.5,184,9.400000000000034,4892.5,4876.0
L,298.6,309.7,1627,33.4,99,11.099999999999966,5690.7,3306.6
L,298.3,310.0,1858,23.9,114,11.699999999999989,4650.2,2724.6
L,297.8,307.5,1391,48.6,109,9.699999999999989,7079.3,5297.400000000001
L,297.4,308.4,1392,49.7,174,11.0,7244.8,8647.800000000001
L,300.7,309.6,1329,54.3,80,8.900000000000034,7557.1,4344.0
L,300.7,310.3,1533,35.6,198,9.600000000000023,5715.1,7048.8
M,297.6,309.2,1442,48.1,0,11.599999999999966,7263.4,0.0
L,297.5,308.7,1443,46.2,110,11.199999999999989,6981.3,5082.0
L,298.0,308.7,1626,36.7,210,10.699999999999989,6249.1,7707.000000000001
H,297.3,308.3,1461,41.5,108,11.0,6349.3,4482.0
L,297.2,308.6,1437,52.4,37,11.400000000000034,7885.3,1938.8
M,297.2,307.9,1687,30.4,82,10.699999999999989,5370.5,2492.7999999999997
L,302.2,311.3,1602,32.8,120,9.100000000000023,5502.6,3935.9999999999995
M,304.2,313.4,1713,23.5,50,9.199999999999989,4215.5,1175.0
L,300.5,310.6,1543,36.2,30,10.100000000000023,5849.3,1086.0
L,299.5,310.7,1589,33.5,5,11.199999999999989,5574.4,167.5
M,300.0,309.1,1463,45.7,11,9.100000000000023,7001.5,502.70000000000005
M,302.3,311.0,1384,49.7,192,8.699999999999989,7203.1,9542.400000000001
L,298.6,308.9,1327,58.8,9,10.299999999999955,8171.0,529.1999999999999
L,301.9,309.6,1410,49.0,223,7.7000000000000455,7235.1,10927.0
M,300.6,310.7,1654,32.0,180,10.099999999999966,5542.6,5760.0
L,303.9,313.1,1440,41.1,12,9.200000000000045,6197.7,493.20000000000005
L,300.1,310.5,1394,44.3,121,10.399999999999977,6466.9,5360.299999999999
M,302.1,311.0,1574,34.1,215,8.899999999999977,5620.7,7331.5
L,302.6,312.3,1647,31.8,52,9.699999999999989,5484.7,1653.6000000000001
M,298.8,309.9,1415,53.2,194,11.099999999999966,7883.1,10320.800000000001
L,297.5,308.6,1536,39.0,202,11.100000000000023,6273.1,7878.0
L,297.4,308.3,1561,38.3,0,10.900000000000034,6260.8,0.0
M,303.1,311.1,1594,35.5,13,8.0,5925.8,461.5
L,300.3,310.3,2158,16.8,32,10.0,3796.6,537.6
L,301.1,309.8,1519,39.6,167,8.699999999999989,6299.1,6613.2
M,297.8,307.3,1315,54.0,180,9.5,7436.1,9720.0
L,298.2,307.8,1804,25.1,108,9.600000000000023,4741.8,2710.8
H,302.5,311.5,1626,36.0,44,9.0,6129.9,1584.0
L,302.7,310.5,1642,30.8,195,7.800000000000011,5296.1,6006.0
L,300.3,309.6,1593,38.1,140,9.300000000000011,6355.8,5334.0
L,300.7,309.7,1507,52.4,163,9.0,8269.4,8541.199999999999
H,298.3,309.0,1470,38.4,10,10.699999999999989,5911.2,384.0
H,298.9,308.5,1415,54.0,6,9.600000000000023,8001.6,324.0
M,297.5,308.8,1455,46.1,147,11.300000000000011,7024.1,6776.7
M,300.8,312.0,1274,67.3,159,11.199999999999989,8978.7,10700.699999999999
L,300.2,311.0,1627,33.7,147,10.800000000000011,5741.8,4953.900000000001
L,302.2,311.5,1725,34.0,170,9.300000000000011,6141.8,5780.0
M,299.7,309.6,1313,60.0,186,9.900000000000034,8249.8,11160.0
H,299.3,310.4,1393,44.9,162,11.099999999999966,6549.8,7273.8
L,301.0,312.2,1264,59.0,57,11.199999999999989,7809.6,3363.0
M,300.5,311.9,1370,44.8,20,11.399999999999977,6427.3,896.0
L,301.6,310.6,1613,42.5,97,9.0,7178.8,4122.5
L,300.8,311.9,1560,31.8,21,11.099999999999966,5194.9,667.8000000000001
L,296.3,307.2,1637,31.6,27,10.899999999999977,5417.1,853.2
H,300.6,309.4,1463,49.2,235,8.799999999999955,7537.7,11562.0
L,301.3,310.6,1387,53.6,94,9.300000000000011,7785.2,5038.400000000001
L,300.1,309.4,1434,47.3,127,9.299999999999955,7103.0,6007.099999999999
H,300.2,310.4,1501,42.9,212,10.199999999999989,6743.2,9094.8
L,298.2,308.1,1462,49.9,69,9.900000000000034,7639.7,3443.1
L,298.8,310.6,1803,25.4,209,11.800000000000011,4795.8,5308.599999999999
L,302.4,310.2,1578,31.2,139,7.800000000000011,5155.7,4336.8
L,300.6,310.8,1533,38.5,117,10.199999999999989,6180.6,4504.5
L,300.7,311.7,1524,43.5,222,11.0,6942.3,9657.0
L,297.4,308.7,1510,36.2,92,11.300000000000011,5724.2,3330.4
H,297.3,308.7,1569,33.9,93,11.399999999999977,5569.9,3152.7
L,298.1,308.4,1592,38.2,211,10.299999999999955,6368.5,8060.200000000001
M,298.5,308.0,1519,37.3,29,9.5,5933.3,1081.6999999999998
L,299.9,311.3,1429,58.2,103,11.400000000000034,8709.3,5994.6
L,300.0,309.1,1882,23.8,84,9.100000000000023,4690.6,1999.2
L,297.4,308.8,1353,49.4,188,11.400000000000034,6999.3,9287.199999999999
H,301.3,311.0,1580,36.6,184,9.699999999999989,6055.7,6734.400000000001
H,297.2,308.0,1435,43.0,202,10.800000000000011,6461.7,8686.0
L,299.0,310.0,1484,39.6,212,11.0,6154.0,8395.2
L,298.7,310.1,1558,37.6,44,11.400000000000034,6134.6,1654.4
L,300.0,309.4,1499,35.7,46,9.399999999999977,5604.0,1642.2
M,303.8,312.6,1768,23.9,149,8.800000000000011,4425.0,3561.1
L,298.1,308.9,2136,15.9,78,10.799999999999955,3556.5,1240.2
M,297.9,309.1,1488,37.3,30,11.200000000000045,5812.2,1119.0
M,297.1,308.1,1352,44.4,0,11.0,6286.2,0.0
M,301.5,310.7,1347,47.9,29,9.199999999999989,6756.7,1389.1
M,299.7,310.3,1661,34.5,6,10.600000000000023,6000.9,207.0
H,303.8,312.9,1378,45.6,184,9.099999999999966,6580.3,8390.4
L,297.8,309.3,2015,20.1,161,11.5,4241.3,3236.1000000000004
M,301.0,310.6,1698,27.3,14,9.600000000000023,4854.3,382.2
H,301.2,310.7,1747,27.3,35,9.5,4994.4,955.5
M,298.7,309.6,1738,27.3,79,10.900000000000034,4968.7,2156.7000000000003
L,297.4,308.7,1402,40.2,114,11.300000000000011,5902.0,4582.8
L,298.2,309.0,1353,57.8,89,10.800000000000011,8189.4,5144.2
M,299.1,310.1,1649,31.6,41,11.0,5456.8,1295.6000000000001
L,302.8,312.2,1433,50.0,216,9.399999999999977,7503.2,10800.0
M,302.7,312.2,1350,58.6,2,9.5,8284.4,117.2
L,298.3,307.9,1766,26.5,145,9.599999999999966,4900.8,3842.5
L,301.5,310.6,1998,20.2,210,9.100000000000023,4226.4,4242.0
L,298.8,310.0,1611,32.4,183,11.199999999999989,5466.0,5929.2
L,300.0,309.6,1514,44.6,98,9.600000000000023,7071.1,4370.8
L,300.5,311.6,1447,45.4,204,11.100000000000023,6879.4,9261.6
L,298.7,308.6,1297,55.3,148,9.900000000000034,7510.9,8184.4
L,297.3,307.9,1579,34.4,193,10.599999999999966,5688.1,6639.2
M,297.9,309.9,1410,55.4,188,12.0,8180.1,10415.199999999999
L,302.3,311.5,1565,35.6,41,9.199999999999989,5834.4,1459.6000000000001
H,300.6,309.4,1555,37.9,24,8.799999999999955,6171.6,909.5999999999999
L,302.7,312.3,1858,25.4,2,9.600000000000023,4942.1,50.8
L,300.7,311.7,1910,19.7,13,11.0,3940.3,256.09999999999997
H,300.5,311.4,1679,27.5,59,10.899999999999977,4835.2,1622.5
H,300.6,309.4,1691,28.0,36,8.799999999999955,4958.3,1008.0
L,298.8,309.9,1486,40.3,126,11.099999999999966,6271.2,5077.799999999999
M,303.6,312.4,1504,49.5,109,8.799999999999955,7796.2,5395.5
L,299.7,309.6,1419,45.1,170,9.900000000000034,6701.7,7667.0
M,300.8,310.5,1409,50.6,141,9.699999999999989,7466.0,7134.6
H,296.1,306.9,1541,32.6,33,10.799999999999955,5260.8,1075.8
L,300.4,309.8,1513,32.9,117,9.400000000000034,5212.7,3849.2999999999997
L,302.8,312.1,1487,36.6,84,9.300000000000011,5699.3,3074.4
L,302.0,310.5,2197,15.8,133,8.5,3635.1,2101.4
H,301.8,310.5,1478,38.6,141,8.699999999999989,5974.3,5442.6
L,299.2,310.5,1391,45.8,38,11.300000000000011,6671.5,1740.3999999999999
L,302.3,311.4,1535,41.8,77,9.099999999999966,6719.1,3218.6
M,298.2,309.5,1478,36.5,182,11.300000000000011,5649.3,6643.0
L,298.2,309.0,1643,34.1,91,10.800000000000011,5867.1,3103.1
L,301.1,310.4,1874,24.8,47,9.299999999999955,4866.9,1165.6000000000001
L,300.5,310.5,1409,60.9,73,10.0,8985.8,4445.7
L,303.8,312.8,1416,58.7,156,9.0,8704.2,9157.2
L,297.3,308.3,2358,14.9,49,11.0,3679.2,730.1
L,297.8,307.8,1452,39.8,21,10.0,6051.7,835.8
L,297.4,308.8,1651,34.1,163,11.400000000000034,5895.6,5558.3
H,300.4,311.4,1445,52.4,105,11.0,7929.2,5502.0
M,301.0,310.8,1533,39.3,194,9.800000000000011,6309.0,7624.2
L,297.4,308.4,1582,37.2,68,11.0,6162.8,2529.6000000000004
L,300.9,310.9,1749,26.4,40,10.0,4835.3,1056.0
L,301.5,310.8,1382,52.4,165,9.300000000000011,7583.5,8646.0
L,302.2,310.8,1827,23.8,9,8.600000000000023,4553.5,214.20000000000002
L,303.0,311.3,1466,43.0,210,8.300000000000011,6601.3,9030.0
M,301.2,310.1,1295,56.6,39,8.900000000000034,7675.6,2207.4
L,301.6,310.6,1391,49.4,164,9.0,7195.9,8101.599999999999
L,299.0,308.1,1242,60.9,117,9.100000000000023,7920.8,7125.3
L,297.4,308.5,1471,43.9,45,11.100000000000023,6762.5,1975.5
H,303.0,311.2,1503,37.0,152,8.199999999999989,5823.6,5624.0
M,303.4,312.7,1399,48.4,34,9.300000000000011,7090.7,1645.6
M,298.1,308.5,1372,51.1,116,10.399999999999977,7341.8,5927.6
L,296.2,307.3,1711,29.9,42,11.100000000000023,5357.3,1255.8
M,302.3,311.7,1423,44.6,93,9.399999999999977,6646.1,4147.8
L,300.3,311.7,1406,47.5,14,11.399999999999977,6993.7,665.0
L,300.3,311.3,1505,39.6,107,11.0,6241.1,4237.2
L,297.3,308.5,1504,42.0,142,11.199999999999989,6614.9,5964.0
L,300.4,311.4,1552,28.8,135,11.0,4680.7,3888.0
M,299.4,308.7,1487,52.6,205,9.300000000000011,8190.8,10783.0
L,302.2,311.9,1596,38.0,156,9.699999999999989,6351.0,5928.0
L,300.6,309.5,2025,21.4,64,8.899999999999977,4538.0,1369.6
L,299.2,308.7,1325,51.0,171,9.5,7076.4,8721.0
L,304.1,313.2,1434,50.1,43,9.099999999999966,7523.4,2154.3
L,301.0,311.4,1484,36.2,188,10.399999999999977,5625.6,6805.6
M,300.3,309.9,1611,29.0,177,9.599999999999966,4892.4,5133.0
L,299.8,309.7,1431,40.3,101,9.899999999999977,6039.1,4070.2999999999997
L,299.4,308.9,1440,42.5,87,9.5,6408.8,3697.5
L,300.5,310.2,1764,25.9,27,9.699999999999989,4784.4,699.3
L,302.5,312.2,1775,27.9,56,9.699999999999989,5186.0,1562.3999999999999
L,299.0,310.1,2033,19.3,15,11.100000000000023,4108.9,289.5
L,302.5,311.1,1499,38.8,135,8.600000000000023,6090.6,5238.0
M,300.8,311.9,1356,44.3,214,11.099999999999966,6290.6,9480.199999999999
H,302.1,310.9,1452,42.5,198,8.799999999999955,6462.3,8415.0
M,299.2,309.0,1597,30.3,115,9.800000000000011,5067.3,3484.5
L,302.1,310.6,1459,47.6,93,8.5,7272.6,4426.8
M,302.3,311.0,1450,45.7,175,8.699999999999989,6939.3,7997.500000000001
M,297.3,308.5,1625,32.8,92,11.199999999999989,5581.6,3017.6
L,302.0,310.9,1495,38.6,52,8.899999999999977,6043.1,2007.2
M,298.0,308.6,1453,44.1,165,10.600000000000023,6710.2,7276.5
L,300.4,311.5,1492,44.6,149,11.100000000000023,6968.4,6645.400000000001
H,298.8,310.3,1708,27.1,78,11.5,4847.1,2113.8
H,303.8,312.5,1748,25.1,175,8.699999999999989,4594.6,4392.5
L,299.1,308.3,1524,34.1,128,9.199999999999989,5442.1,4364.8
L,300.7,311.7,1635,32.4,213,11.0,5547.4,6901.2
H,301.1,310.6,1388,58.5,68,9.5,8503.0,3978.0
H,302.8,312.5,1422,46.1,4,9.699999999999989,6864.8,184.4
H,297.6,308.3,1640,30.9,79,10.699999999999989,5306.8,2441.1
L,302.8,310.8,1516,39.5,23,8.0,6270.8,908.5
L,298.2,308.1,1618,34.7,39,9.900000000000034,5879.4,1353.3000000000002
L,298.8,309.8,1437,42.8,23,11.0,6440.6,984.4
M,299.3,308.9,1577,34.9,160,9.599999999999966,5763.5,5584.0
M,300.3,309.6,1488,41.3,172,9.300000000000011,6435.5,7103.599999999999
H,296.4,307.1,1638,32.5,146,10.700000000000045,5574.8,4745.0
L,303.7,312.4,1512,39.2,184,8.699999999999989,6206.8,7212.8
M,299.0,309.8,2240,15.9,144,10.800000000000011,3729.7,2289.6
L,298.3,308.0,1578,37.8,101,9.699999999999989,6246.4,3817.7999999999997
L,299.3,309.0,1419,46.6,158,9.699999999999989,6924.6,7362.8
L,300.5,311.7,1445,44.8,83,11.199999999999989,6779.1,3718.3999999999996
L,298.5,309.5,1428,43.5,87,11.0,6505.0,3784.5
L,297.5,308.7,1761,26.2,164,11.199999999999989,4831.6,4296.8
L,300.1,311.5,2218,17.0,123,11.399999999999977,3948.6,2091.0
L,299.6,310.9,1472,40.9,137,11.299999999999955,6304.6,5603.3
H,304.2,313.3,1625,37.3,27,9.100000000000023,6347.3,1007.0999999999999
L,302.2,311.5,1413,43.5,83,9.300000000000011,6436.7,3610.5
M,299.4,308.9,1457,41.5,201,9.5,6331.9,8341.5
M,301.5,310.7,1460,38.6,14,9.199999999999989,5901.6,540.4
L,300.6,309.4,1442,43.2,96,8.799999999999955,6523.5,4147.200000000001
H,298.5,309.3,1421,50.3,124,10.800000000000011,7485.0,6237.2
L,300.2,310.0,1486,40.1,182,9.800000000000011,6240.1,7298.2
M,300.4,310.2,1380,47.3,5,9.800000000000011,6835.5,236.5
M,298.4,309.7,1870,22.5,170,11.300000000000011,4406.1,3825.0
M,300.8,312.3,1535,40.3,71,11.5,6478.0,2861.2999999999997
L,298.1,308.8,1432,43.4,68,10.699999999999989,6508.2,2951.2
L,298.2,309.0,1341,43.8,171,10.800000000000011,6150.8,7489.799999999999
L,297.4,308.6,1476,42.3,107,11.200000000000045,6538.2,4526.099999999999
L,301.8,310.6,1452,48.4,110,8.800000000000011,7359.4,5324.0
L,298.0,309.2,1378,49.7,94,11.199999999999989,7171.9,4671.8
M,298.0,307.9,1479,47.6,76,9.899999999999977,7372.3,3617.6
L,299.3,308.8,1636,29.9,201,9.5,5122.5,6009.9
L,296.9,308.3,1555,38.2,175,11.400000000000034,6220.5,6685.000000000001
L,298.2,308.4,1497,37.7,207,10.199999999999989,5910.1,7803.900000000001
L,303.3,312.1,1418,44.7,83,8.800000000000011,6637.6,3710.1000000000004
M,302.9,312.5,1679,30.9,79,9.600000000000023,5433.0,2441.1
L,302.4,311.0,1573,36.5,193,8.600000000000023,6012.4,7044.5
L,298.6,309.2,2035,19.6,40,10.599999999999966,4176.9,784.0
L,302.4,312.0,1621,32.5,169,9.600000000000023,5516.9,5492.5
H,300.6,311.7,1500,36.7,17,11.099999999999966,5764.8,623.9000000000001
M,297.2,308.4,1863,26.0,110,11.199999999999989,5072.4,2860.0
L,302.3,310.9,1403,47.2,173,8.599999999999966,6934.7,8165.6
L,296.6,307.6,1542,37.4,88,11.0,6039.3,3291.2
L,298.9,310.1,1823,26.1,131,11.200000000000045,4982.6,3419.1000000000004
L,301.7,310.1,1402,50.1,3,8.400000000000034,7355.5,150.3
L,300.1,309.1,1353,58.7,86,9.0,8317.0,5048.2
L,300.6,310.1,1495,42.3,132,9.5,6622.3,5583.599999999999
L,297.0,307.9,1455,49.0,204,10.899999999999977,7466.0,9996.0
L,299.1,310.5,1496,35.2,60,11.399999999999977,5514.5,2112.0
L,297.2,308.6,1413,49.8,12,11.400000000000034,7368.9,597.5999999999999
L,299.0,308.9,1511,35.9,16,9.899999999999977,5680.5,574.4
M,298.9,308.7,1402,49.8,167,9.800000000000011,7311.5,8316.6
L,301.0,310.9,1740,28.9,129,9.899999999999977,5265.9,3728.1
L,300.5,312.0,1646,29.5,106,11.5,5084.9,3127.0
L,302.9,312.4,1383,51.4,160,9.5,7444.1,8224.0
M,298.2,308.9,1326,54.4,75,10.699999999999989,7553.9,4080.0
M,298.7,310.3,1495,38.7,88,11.600000000000023,6058.7,3405.6000000000004
L,297.5,308.6,1260,53.6,137,11.100000000000023,7072.4,7343.2
L,300.0,311.4,1604,38.7,185,11.399999999999977,6500.5,7159.500000000001
L,298.9,308.7,1729,26.6,73,9.800000000000011,4816.2,1941.8000000000002
M,297.9,309.6,1515,38.8,124,11.700000000000045,6155.6,4811.2
M,298.5,309.4,1365,48.7,56,10.899999999999977,6961.3,2727.2000000000003
M,297.3,307.8,1538,48.0,171,10.5,7730.8,8208.0
M,299.5,310.1,1359,61.1,67,10.600000000000023,8695.4,4093.7000000000003
L,296.7,307.8,1382,47.5,37,11.100000000000023,6874.3,1757.5
H,300.8,310.8,1618,32.8,40,10.0,5557.5,1312.0
M,298.9,309.2,1412,44.1,140,10.300000000000011,6520.8,6174.0
M,303.5,312.3,1532,41.7,32,8.800000000000011,6690.0,1334.4
L,300.8,311.7,1490,46.4,217,10.899999999999977,7239.9,10068.8
M,300.8,310.7,1483,40.8,28,9.899999999999977,6336.2,1142.3999999999999
L,303.7,312.2,1568,33.8,96,8.5,5550.0,3244.7999999999997
M,298.5,309.6,1364,58.7,123,11.100000000000023,8384.6,7220.1
L,301.3,310.0,1550,41.5,197,8.699999999999989,6736.1,8175.5
L,300.6,309.4,1549,43.4,233,8.799999999999955,7040.0,10112.199999999999
M,300.6,309.6,1588,37.0,50,9.0,6152.9,1850.0
L,300.8,312.0,1382,49.3,177,11.199999999999989,7134.8,8726.1
H,298.1,309.0,1438,41.4,60,10.899999999999977,6234.3,2484.0
H,296.8,308.0,1453,51.0,24,11.199999999999989,7760.0,1224.0
L,297.4,308.6,1459,41.3,196,11.200000000000045,6310.1,8094.799999999999
M,298.3,307.9,1609,32.4,151,9.599999999999966,5459.2,4892.4
M,299.0,310.3,1447,39.9,78,11.300000000000011,6046.0,3112.2
L,300.6,312.2,1308,54.7,52,11.599999999999966,7492.4,2844.4
L,297.2,308.5,1513,42.9,212,11.300000000000011,6797.1,9094.8
L,302.2,310.6,1632,30.5,122,8.400000000000034,5212.5,3721.0
M,300.1,310.2,1429,42.0,206,10.099999999999966,6285.1,8652.0
